"collection title","accession id","accession date"
"Konstantinov, Aleko. Collection","6hdx7jh3h180h","2013-11-04T10:42:41.117163"
"LVNG. Records","nctz0zb9pcw5b","2015-02-09T09:20:30.223356"
"Lach, Alma. Papers","560m5drp8fmgf","2014-06-26T12:17:29.894028"
"Lach, Alma. Papers","dk4ng5xhv99d5","2014-07-14T12:39:01.902443"
"Lach, Alma. Papers","zkr2v69dqf9x8","2014-12-31T15:53:09.024584"
"Lach, Donald F. Papers and Addenda","jgz84wjvpzxk9","2014-08-01T13:22:05.187094"
"Lafayette Manuscripts. Digital Collection","0d1mgctzx3z0f","2012-11-06T16:25:54.164516"
"Lane, Ebenezer, Family. Digital Collection","5bs0z91dw83rd","2014-09-22T12:07:22.942722"
"Lee, Elon N. and Edson S. Bastin. Digital Collection","acx835m3407","2011-03-29T15:05:47"
"Lee, Yuan T. Papers","hb264xqq8h1gf","2013-05-15T17:17:04.576019"
"Leo Strauss Center. Leo Strauss lectures. Digitally Remastered Audio Files","acc0t7d7p0s","2010-06-11T14:40:54"
"Lewis, Fielding. Digital Collection","acr1p4v5c1j","2010-12-06T09:26:38"
"Lincoln Collection, Lincoln Miscellaneous Manuscripts 1587-1924. Digital Collection","k5crkqzm9g9pc","2011-10-17T14:58:12"
"Lowitz, Leza. Papers","7m57kbvs7p604","2015-02-06T16:05:57.573517"
"Lowitz, Leza. Papers","7ts65hqm7jv9v","2015-02-09T12:16:59.687371"
"MacLane, Saunders. Papers","acn3z805x8v","2010-12-02T17:10:45"
"MacLean Center for Clinical Medical Ethics. Records","5xxpw29vxxhfw","2015-02-09T09:27:19.405934"
"MacLean Center for Clinical Medical Ethics. Records","c4s03hdzqzpk5","2015-02-09T09:31:59.798064"
"MacLean Center for Clinical Medical Ethics. Records","3r8c95rmq0t92","2015-02-11T09:58:07.884936"
"MacLean Center for Clinical Medical Ethics. Records","85psj7t2pxf91","2015-08-11T13:35:53.829897"
"Mahon, O'Gorman . Digital Collection","t9mp2hnzx0mv7","2011-09-14T08:46:49"
"Marty, Martin E. Papers","jdtfc1rzkv3p8","2013-07-16T11:14:48.339776"
"McHenry, Katherine Alice. Collection","9vvwz3d673z7d","2014-12-19T15:39:01.881781"
"McQuown, Norman A. Digital Collection","d4kz164ffmn56","2014-02-20T12:29:59.874591"
"McQuown, Norman A. Digital Collection","8kz5421z3kz6v","2014-11-17T14:22:01.497580"
"McQuown, Norman A. Digital Collection","b1sm73p3bv0d6","2015-09-14T09:36:05.527775"
